proceso,fortalezas_interna,oportunidades_mejora_interna,hallazgos_interna,no_conformidades_interna,recomendacion_desempeno_interna,fortalezas_externa,oportunidades_mejora_externa,hallazgos_externa,no_conformidades_externa,recomendacion_desempeno_externa
"GESTIÓN, EVALUACIÓN E INNOVACIÓN CURRICULAR","La metodología institucional para la implementación del Modelo de resultados de aprendizaje, debido a que se ha establecido un enfoque estructurado, que inicia con un piloto para validar efectividad y pasa por una réplica escalonada con ventana de tiempo para el cumplimiento de hitos de implementación y adopción del modelo, de manera proactiva, garantizando que se minimiza la resistencia al cambio. | La desagregación de los datos asociados a la evaluación formativa y sumativa permite identificar con gran precisión la pertinencia de los mecanismos e instrumentos de evaluación en relación con los objetivos de aprendizaje. Al analizar estos datos de manera detallada, la Institución genera data para ajustar sus metodologías de enseñanza y evaluación, asegurando que los instrumentos utilizados midan de forma efectiva el logro de las competencias y que la retroalimentación sea más significativa para el estudiante. | La réplica de buenas prácticas asociadas a la adopción temprana de modelos e iniciativas de gestión curricular optimiza recursos y acelera la implementación de mejoras, aumentando la capacidad de aprendizaje organizacional, donde el conocimiento generado en un área se capitaliza para elevar la calidad y la eficiencia en toda la gestión curricular. | Los instrumentos de auto revisión, seguimiento y control de las reformas curriculares son mecanismos que facilitan la supervisión de los cambios y fomentan una gestión proactiva y preventiva, permitiendo detectar desviaciones o problemas en sus etapas iniciales, lo que asegura la coherencia y el éxito de las reformas. | La creación de la planeación del currículo bajo el marco del ciclo PHVA (planificar, hacer, verificar, actuar), contribuye a definir un enfoque metodológico que dota al proceso de una estructura de mejora continua, concibiendo la planeación como un ciclo d inámico, que asegura que los currículos se revisan y ajustan constantemente en función de los resultados obtenidos, lo que garantiza su relevancia y efectividad.","Se sugiere refinar los referentes de construcción de la estructura didáctica, con el fin de considerar la naturaleza disciplinar de los programas y la necesidad de mayor globalidad en los módulos transversales. Es fundamental adaptar los enfoques pedagógicos a las particularidades de cada campo de conocimiento para optimizar el proceso de aprendizaje. Al hacerlo, se garantiza que la didáctica sea más pertinente y efectiva, lo que se traduce en una mejor calidad educativa. | Se recomienda incorporar pulsos de seguimiento a la construcción colaborativa de los micro currículos, para establecer puntos de control periódicos que permitan monitorear el avance y la calidad del trabajo en equipo. Al implementar esta medida, la Institución puede identificar desviaciones a tiempo, asegurar la alineación de los contenidos y fomentar una colaboración más eficiente, lo que resultará en micro currículos más sólidos y coherentes. | La definición del componente de inclusión educativa en el radar de capacidades diversas, con el ánimo de establecer un marco claro que guíe la integración de prácticas y recursos para atender a estudiantes con diferentes capacidades y necesidades. Al formalizar este componente, la Institución podrá asegurar que sus programas sean accesibles para todos, lo que fortalecerá su compromiso con la equidad y la diversidad en la educación.",,,,,,,,
"INSCRIPCIÓN, ADMISIÓN Y MATRÍCULA DE ESTUDIANTES NUEVOS","La Institución cuenta con una política de acceso a la educación superior que facilita el ingreso sin barreras a los aspirantes, asegurando un enfoque de Diversidad, Equidad e Inclusión (DEI) desde las etapas iniciales de admisión y matrícula, la cual los posiciona como un referente en la promoción de la equidad educativa y la construcción de una comunidad académica diversa y representativa. | El modelo CSU (Centro de servicio universitario) es relevante porque representa un activo estratégico fundamental para la expansión y el alcance geográfico de la Institución, permitiendo que su servicio educativo llegue a rincones diversos del territorio nacional. La presencia en todos los departamentos no solo amplifica exponencialmente el número de potenciales beneficiarios, sino que también demuestra una capacidad operativa robusta y adaptable, capaz de gestionar la logística, el soporte y la interacción con estudiantes y comunidades a gran escala. | El shopping de precios mensual y el seguimiento al funnel de conversión, con periodicidad semanal, es relevante porque dota a la Institución de agilidad competitiva y capacidad de maximizar las oportunidades de captación. Al monitorear constantemente los precios del mercado y el avance de los prospectos en el funnel, la Institución anticipa rápidamente la necesidad de implementar acciones estratégicas como ""descuentos"" o promociones específicas.","Se recomienda analizar los datos de maduración del lead para conversión a través de un enfoque basado en la curva de Gauss, para que a través de esta metodología se puedan identificar desviaciones y tomar acciones correctivas de manera oportuna cuando la a dopción no cumpla con las proyecciones de matrícula. Este análisis más profundo permitirá una respuesta estratégica y proactiva, optimizando los esfuerzos de captación de estudiantes y el retorno de la inversión en marketing. | Se deben validar los mecanismos que aseguren que antes de la entrega de los productos y servicios educativos, la organización notifica a los estudiantes y comprueba su entendimiento de las condiciones del servicio.",,,"Se recomienda analizar los datos de maduración del lead para conversión a través de un enfoque basado en la curva de Gauss, para que a través de esta metodología se puedan identificar desviaciones y tomar acciones correctivas de manera oportuna cuando la a dopción no cumpla con las proyecciones de matrícula. Este análisis más profundo permitirá una respuesta estratégica y proactiva, optimizando los esfuerzos de captación de estudiantes y el retorno de la inversión en marketing.",,,,,
"INVESTIGACIÓN, INNOVACIÓN Y CREACIÓN","La actualización de la política de Investigación, Desarrollo, Innovación y Creación (I+D+i+C) y la subsiguiente creación del reglamento de propiedad intelectual (PI), representan un avance fundamental en la estrategia de la Institución, en la medida en que estos instrumentos normativos tienen la proyección de generar una transformación efectiva, que es crucial para evaluar su implementación en términos de transferencia de conocimiento y tecnología a las regiones y la vinculación activa con el sector empresarial. | La política y el reglamento están fomentando mecanismos claros y eficientes para que los resultados de I+D+i+C beneficien directamente el desarrollo regional y las alianzas con empresas que generan valor mutuo, más allá de acuerdos superficiales, contribuyendo a un ecosistema de innovación robusto y pertinente para el contexto local y nacional. | La transición de un enfoque basado en competencias a uno centrado en habilidades de investigación, dentro de los programas académicos y de formación, es un cambio fundamental para asegurar que los egresados no solo posean conocimientos teóricos, sino que también desarrollen la capacidad crítica de generar nuevo conocimiento, resolver problemas complejos y adaptarse a entornos cambiantes. | La integración de diversas estrategias, como: Aulas Abiertas de Investigación, Poli PIF, Jueves de Investigación, MOOCs y la creación de aulas de semillero en la plataforma Canvas, se constituyen en pilares para el fomento de la cultura investigativa, cultivando el interés en la investigación desde etapas tempranas. | La gestión del conocimiento en torno a la creación de las rúbricas de investigación, porque son herramientas que estandarizan la evaluación, promoviendo la calidad y la transparencia en los procesos investigativos, generando sinergia para el fortalecimiento de las capacidades de investigación y para la generación de productos de conocimiento relevantes y de alto impacto.","La estructuración del modelo de mapeo de activos no tangibles propios de la investigación, que se constituye en un marco de trabajo que permita identificar, valorar y gestionar de manera sistemática el conocimiento, las metodologías y las innovaciones no p atentables que surgen de los proyectos de investigación, con esto la Institución puede aprovechar activos valiosos, aumentando su capacidad para capitalizar el conocimiento generado y para demostrar el retorno de la inversión en I+D.",,,"La estructuración del modelo de mapeo de activos no tangibles propios de la investigación, que se constituye en un marco de trabajo que permita identificar, valorar y gestionar de manera sistemática el conocimiento, las metodologías y las innovaciones no p atentables que surgen de los proyectos de investigación, con esto la Institución puede aprovechar activos valiosos, aumentando su capacidad para capitalizar el conocimiento generado y para demostrar el retorno de la inversión en I+D.",,,,,
MERCADEO DE PROGRAMAS ACADÉMICOS,"El modelo de curva anticipada con picos de captación, ya que dota a la Institución de una capacidad predictiva crucial para la planificación estratégica. Esta herramienta permite prever los momentos de mayor demanda, lo que optimiza la asignación de recursos y maximiza los esfuerzos de captación de nuevos estudiantes. | La anticipación de los periodos de mayor demanda reside en la capacidad de la Institución para alinear proactivamente sus recursos, lo que permite coordinar de forma estratégica las campañas de marketing y comunicación, la asignación de personal y la disponibilidad de recursos físicos y tecnológicos. | La revisión de los insumos y flujos para Nurturing se constituye en una acción de actualización que garantiza la claridad y el enfoque estratégico de la comunicación, manteniendo estos procesos bajo constante revisión, lo cual asegura que la información tr ansmitida sea relevante y coherente con sus objetivos.","La integración de las directrices del plan de implementación de la ley 2300 de 2023, en el cual se incluya las actividades adelantadas con proveedores, asociado a los controles que se deben adelantar para dar cumplimiento, en relación con la verificación d e los datos de los usuarios que son incorporados en el listado de restricción para contenidos publicitarios y comerciales. | Es conveniente articular las conclusiones estratégicas del estudio de marca con las nuevas estrategias desplegadas a través de proyectos, para asegurar que los hallazgos sobre la percepción de la marca se traduzcan directamente en acciones concretas y medibles en los proyectos. | Se recomienda asegurar y formalizar las aprobaciones de la academia sobre la información específica de los programas, ya que es fundamental que toda la información que se difunde al público, desde el contenido curricular hasta los requisitos de admisión, c uente con el visto bueno explícito de la autoridad académica. Esta medida garantiza la veracidad y la coherencia de la información, mitigando riesgos de comunicación errónea y fortaleciendo la credibilidad de la oferta educativa.",,,"Se recomienda revisar y evaluar el impacto asociado a la penetración de mercado en las diferentes regiones, considerando establecer métricas claras para entender el alcance y la efectividad de las estrategias de expansión. Al no tener un análisis sistemático, la Institución podría estar desaprovechando oportunidades en mercados prometedores o invirtiendo recursos de manera ineficiente en regiones con bajo retorno.",,"Reforzar el posicionamiento de marca en la Escuela de Mercadeo y Publicidad, destacando su carácter insignia institucional y su papel estratégico en eventos académicos y de industria, para que permita revitalizar su visibilidad, fortalecer el vínculo emocional con las audiencias clave y consolidar su liderazgo como referente en formación, creatividad y evolución del marketing en Colombia.",,,
OPERACIONES ACADÉMICAS,"La alta automatización de los procesos reduce significativamente el margen de error, debido a que se minimiza la intervención manual en tareas administrativas y de gestión, lo que garantiza una mayor precisión y eficiencia, optimizando tiempos de respuesta para estudiantes y docentes y liberando recursos humanos para que se enfoquen en actividades de mayor valor estratégico y de acompañamiento.","Es conveniente generar una herramienta que permita mapear la articulación con otros procesos para cada componente de la operación académica, identificando las interconexiones y dependencias para garantizar una coordinación fluida y eficiente. Al no tener este mapeo, la Institución corre el riesgo de enfrentar cuellos de botella, redundancias y falta de comunicación entre áreas, lo que impacta negativamente la eficiencia operativa y la experiencia del estudiante. | La ficha resumen de programa, desde el software de parametrización de plan de estudios, con el ánimo de realizar un ejercicio de completitud de la data para todos los programas, garantizando que se centraliza y estandariza la información, propendiendo por la consistencia de los datos, facilitando la consulta y la toma de decisiones, y mejorando la eficiencia en la gestión académica, lo cual es fundamental para una operación a gran escala.",,,,,,,,
PLANIFICACIÓN Y MEJORA DEL SISTEMA INTEGRADO,"La sesión de “Reconociendo POLISIGS” donde se resalta el trabajo y liderazgo colaborativo, para seguir sensibilizando a toda la comunidad tanto en Bogotá como en Medellín en el Sistema integrado de gestión e identificar las áreas de oportunidad.","Se recomienda revisar la redacción de las amenazas identificadas en las matrices DOFA de cada sistema de gestión, con el fin de que estas se enfoquen en aspectos específicos del contexto o la gestión, y no en sus consecuencias, esto facilitaría la priorización y análisis adecuado de riesgos, así como la identificación de oportunidades de mejora concretas. | Evaluar la incorporación del análisis del manejo de la inteligencia artificial (IA) en la elaboración y actualización de las matrices de peligros y riesgos institucionales, con el fin de aprovechar la información y análisis predictivo que puede generar la IA para fortalecer la identificación, evaluación y control de los peligros y riesgos asociados a las actividades de la Institución, promoviendo una gestión más anticipativa y basada en datos. | Fortalecer la gestión del cambio, incorporando de manera explícita la evaluación de requisitos asociados a impactos ambientales, condiciones de seguridad y salud en el trabajo, y aspectos operacionales, esto permitiría una gestión más integral de los riesg os y asegurará la identificación oportuna de requisitos normativos o técnicos que puedan verse afectados por los cambios propuestos, en coherencia con los principios de prevención y mejora continua.",,,,,,,,
PRÁCTICAS Y GRADUADOS,"El fondo de becas de graduados es una estrategia que fomenta la responsabilidad social y el compromiso de la comunidad de egresados, por medio de la canalización de aportes económicos voluntarios, creando un ciclo virtuoso de apoyo, donde los graduados exitosos contribuyen a la formaci ón de las futuras generaciones. | El reconocimiento nacional por parte del Ministerio de Educación Nacional al modelo de seguimiento a graduados se constituye en un aval oficial que, valida las buenas prácticas y los resultados exitosos de la Institución, fortaleciendo su reputación y credibilidad. Este logro evidencia que el modelo no solo es efectivo en la gestión interna, sino que también se alinea con los más altos estándares de calidad educativa a nivel nacional. | El desarrollo de LA, plataforma de encuestas para graduados, es una herramienta tecnológica que permite un seguimiento sistemático y completo de los egresados en cada uno de los ejes estratégicos del modelo, lo cual contribuye a evaluar el impacto de su formación, identificar áreas de mejora en sus programas y fortalecer la relación con su comunidad de graduados de manera proactiva y basada en evidencia.","Se recomienda establecer un sistema de trazabilidad para las actividades desarrolladas en las sesiones de acompañamiento de la bolsa de empleo, para documentar los temas abordados y los compromisos adquiridos en cada sesión, asegurando así la continuidad y la coherencia en el apoyo a los usuarios. | La actualización del protocolo general de actuación y servicio de orientación laboral, para asegurar que cubra las necesidades del sector productivo. Se sugiere revisar los contenidos y los procedimientos para alinearlos con las demandas actuales del merca do laboral, lo que aumentará la probabilidad de éxito de los estudiantes y graduados en la consecución de empleo. | El mapeo de actores del proceso de prácticas, con el ánimo de establecer la matriz de activos relacionales, identificando el nivel de aporte de cada actor en la vinculación con el sector empresarial, la calidad de los escenarios y la cobertura geográfica. Este análisis permitirá tomar decisiones informadas sobre la continuidad o finalización de los acuerdos, optimizando así la red de colaboradores. | Se requiere que el proceso revise la formalidad jurídica de los escenarios de práctica, solicitando la documentación oficial que respalde su existencia y cumplimiento normativo. Es crucial garantizar la legalidad de los convenios para proteger a la Institución y a los estudiantes de cualquier riesgo, esta medida fortalece la credibilidad y la seguridad del proceso de prácticas. | Es necesario mapear explícitamente a los estudiantes que no aprueban la asignatura de práctica para establecer acciones correctivas y preventivas, analizar las causas de la no aprobación y diseñar estrategias de acompañamiento para asegurar la continuidad académica. Al no tener este mapeo, la Institución podría pasar por alto factores clave que impactan la retención estudiantil y el éxito en la culminación del programa.",,,,,,,,
RECORRIDO POR LAS INSTALACIONES SEDE MEDELLÍN,,,,,,"Durante el recorrido por las instalaciones, sede los colores en Medellín, se evidenciaron aspectos positivos que reflejan el compromiso del politécnico con el cumplimiento de los requisitos establecidos en los sistemas de gestión de la calidad, ambiental y seguridad y salud en el trabajo, ya que permite contar con la información visible de los sistemas, conforme al cumplimiento de los requisitos establecidos en las normas ISO aplicables. | El politécnico en Medellín, sede los colores mantiene los puntos ecológicos adecuadamente identificados para la separación de residuos, campañas de sensibilización ambiental visibles según su programación, el cual ha permitido contar con un entorno limpio y la cultura de la aplicación de buenas prácticas de gestión ambiental. | Se evidencia la divulgación de una política de seguridad y salud en el trabajo, en la sede los colores del politécnico de Medellín, el cual se refleja su compromiso en las personas de cada uno de los pisos y en las carteleras ubicadas en el edificio, ya que permite observarse una adecuada comunicación interna y efectiva de la gestión, conforme a lo dispuesto por el politécnica para su sistema de gestión de seguridad y salud en el trabajo.","Mejorar la señalización ambiental y de seguridad y salud de rutas de evacuación, puntos de encuentro, equipos contra incendios con el fin de incluir señalización ambiental, puntos ecológicos indicadores de ahorro de agua y energía. | Mejorar el control de riesgos en zonas críticas identificadas durante el recorrido en la sede los colores en Medellín con el propósito de revisar pisos resbalosos, iluminación deficiente, obstáculos en circulación, estado y operación de extintores, gabinetes contra incendios y sensores.",,,
REGISTRO Y CONTROL,"La mejora asociada a titulación priorizada auto gestionable, acorde a la necesidad del estudiante, se constituye en un factor favorecedor en cuanto a optimización de tiempos para facilitar el acceso al mercado laboral o continuidad educativa del graduado. | El proceso de aseguramiento del histórico de información asociada a matrícula y avance curricular acorde a la ruta académica, a través de auditorías documentales, aporta en la medida en que disminuye el error y aumenta la confiabilidad de los soportes para la graduación.","En relación con los resultados de auditoría a requisitos de graduación, es conveniente fortalecer los controles asegurando la subsanación documental, antes del grado, cuando se presenten inconsistencias en legibilidad o completitud, asegurando que se levanten las salidas no conformes correspondientes para que sean atendidas por matrícula. | La consolidación de los resultados de auditoría documental al proceso, de manera que se determine la eficacia de las acciones considerando: subsanación y disminución de la reincidencia en casos posteriores al punto cero, asegurando el mejoramiento del proceso de manera sostenida. | La inclusión en el sistema de control de requisitos de grados, con la finalidad de asegurar en observaciones el reporte asociado a la validación de títulos que se realizan por parte del área y el resultado de dicho proceso.",,,"La consolidación de los resultados de auditoría documental al proceso, de manera que se determine la eficacia de las acciones considerando: subsanación y disminución de la reincidencia en casos posteriores al punto cero, asegurando el mejoramiento del proceso de manera sostenida.",,,,,
"REMATRICULA, SERVICIO Y PERMANENCIA","El software de permanencia estudiantil (Adviser) se constituye en una herramienta que permite la programación asertiva de los servicios incluidos en cada una de las estrategias, favoreciendo el alcance de difusión y por ende la cobertura de la población estudiantil, en cada fase del ciclo de vida del estudiante. | El programa SINAPSIS, ofrece acompañamientos en primeros auxilios psicológicos y una aplicación móvil (""APP Manos levantadas"") para gestionar el ausentismo, lo que demuestra un compromiso proactivo con el bienestar integral de los estudiantes, abordando no solo sus necesidades académicas, sino también su salud mental. | La medición de impacto asociado a nivel de participación en estrategias vs la rematricula, es un indicador que permite identificar las fortalezas y retos que tiene el proceso en relación con la estructura del modelo de permanencia.","Se recomienda revisar la complejidad del proceso de respuesta a trámites para ajustar el Acuerdo de Nivel de Servicio (ANS) a la capacidad real de atención. Además, es crucial generar un plan de contingencia específico para gestionar los casos vencidos. Al simplificar los flujos de trabajo y establecer un plan de acción para el backlog, la Institución podrá mejorar la eficiencia, reducir los tiempos de respuesta y aumentar la satisfacción de los usuarios. | Es fundamental asegurar la calidad de las respuestas dadas por las áreas a las quejas y reclamaciones de los clientes, a través de la implementación de un proceso de control de calidad para garantizar que las respuestas sean claras, completas y que aborden de manera efectiva la causa raíz del problema. Al no tener este aseguramiento, se corre el riesgo de generar insatisfacción y de no resolver los problemas de manera definitiva.",,,"La medición de impacto asociado a nivel de participación en estrategias vs la rematricula, es un indicador que permite identificar las fortalezas y retos que tiene el proceso en relación con la estructura del modelo de permanencia.",,,,,
SEDE MEDELLÍN,"El despliegue de directrices nacionales en el ámbito local es una buena práctica que garantiza una alineación estratégica y operativa entre la sede y la dirección central, lo que asegura la coherencia en los procesos y el cumplimiento de los resultados pre vistos. Esta sinergia no solo optimiza la gestión, sino que también fortalece la cohesión institucional y la capacidad de la sede para actuar como un agente eficaz en la implementación de la visión global. | La concreción de convenios con Instituciones gubernamentales, que conllevan a alianzas estratégicas, actúa como un seguro para el cumplimiento de las metas de matrícula, mitigando las amenazas inherentes al sector. Al colaborar con el sector público, la sede no solo diversifica sus fuent es de estudiantes, sino que también refuerza su posición en el mercado y garantiza una demanda estable para sus programas. | El seguimiento semanal a las acciones comerciales es una fortaleza crucial que dota a la sede de agilidad y capacidad de respuesta, esta herramienta permite anticipar posibles contingencias, ajustar estrategias en tiempo real e identificar victorias tempra nas en la captación de prospectos. Esta supervisión continua asegura que la sede pueda maximizar sus resultados y optimizar sus esfuerzos de mercadeo de manera proactiva. | El programa de pedagogía constitucional demuestra el compromiso de la Institución con la transferencia de conocimiento a la comunidad, al ofrecer acompañamiento formativo en colegios sobre temas como responsabilidad penal para adolescentes y habilidades de negociación, la sede no solo cumple con su función social, sino que ta mbién fortalece su vínculo con el entorno educativo, posicionándose como un referente en la formación ciudadana. | El esquema de liderazgo ético y social, que incluye el acompañamiento a gobiernos escolares en colegios a través de talleres y bootcamps, es una iniciativa que promueve la formación de líderes con conciencia social desde temprana edad, transfiriendo conocimiento y valores institucionales. Esto no solo genera un impacto positivo en la comunidad, sino que también refuerza la reputación de la sede como una Institución comprometida con la formación integral y el desarrollo de la sociedad.","Se recomienda incluir y cuantificar las actividades de recuperación y reparación en el área de mantenimiento, en el marco de los beneficios ambientales, estableciendo un sistema de seguimiento que permita medir los impactos positivos generados por estas ac ciones, como la reducción de residuos o el ahorro de energía. Al documentar y cuantificar estos resultados, la Institución no solo fortalece su compromiso con la sostenibilidad, sino que también puede evidenciar de manera tangible su contribución a la protección del medio ambiente. | Es conveniente consolidar el plan de saneamiento básico para la sede de Medellín, asegurando su articulación y pertinencia con las necesidades específicas de la infraestructura. Se sugiere revisar el plan para que aborde de manera integral todos los aspectos relevantes, como la gestión de aguas, residuos y control de plagas, de acuerdo con la normativa vigente y las particularidades de la sede. Al formalizar y adaptar este plan, la Institución garantizará un entorno más seguro y saludable para su comunidad, mitigando riesgos sanitarios y ambientales.",,"La organización no ha identificado los peligros relacionados con infraestructura, equipos del lugar de trabajo. Evidencia: En la Matriz de Peligros y Evaluación de Riesgos de la Escuela de Diseño Industrial, con fecha 14 de julio, se evidenció que: En el taller de cerámica, no se identificaron los peligros asociados al uso del horno ni a herramientas cortopunzantes. En el taller de madera, no se consideraron los peligros derivados del uso de herramientas manuales (taladro, pulidora, entre otros). No se evidencia el seguimiento a la implementación de los controles establecidos en la Matriz de Peligros y Evaluación de Riesgos de la Escuela de Diseño Industrial, con fecha 14 de julio, particularmente en cuanto a la elaboración de procedimientos de tra bajo seguro para operaci ones como el uso del soldador de punto, horno y torno de pedal y de patada. Sede Medellín Verificado el gabinete contraincendios, del cuarto piso, se identifica el extintor despresurizado.","Se recomienda incluir y cuantificar las actividades de recuperación y reparación en el área de mantenimiento, en el marco de los beneficios ambientales, estableciendo un sistema de seguimiento que permita medir los impactos positivos generados por estas ac ciones, como la reducción de residuos o el ahorro de energía. Al documentar y cuantificar estos resultados, la Institución no solo fortalece su compromiso con la sostenibilidad, sino que también puede evidenciar de manera tangible su contribución a la protección del medio ambiente.",,,,,
